author,search,title
admin,"index=* sourcetype=cp_log rule_name=BLOCK_WEB_VIRUS_2
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
| stats earliest(Time) as Earliest_Time latest(Time) as Latest_Time values(action) as Action values(dest_ip) as Dest_IP values(dest_port) as Dest_Port values(rule_name) as Firewall_Rule_Name count by Alert_Severity src_ip
| rename src_ip as Source_IP","FPT - Connection to C2 detected by Checkpoint (Rule: BLOCK WEB VIRUS 2)"
admin,"index=* sourcetype=linux_audit ((type=""SYSCALL"" AND exe=""*/useradd"") OR type=""ADD_USER"")
| convert timeformat=""%H:%M:%S %Y/%m/%d"" ctime(_time) as Time 
| eval Alert_Severity=""Medium""
| stats count by Alert_Severity Time src_user_name command action terminal addr","FPT - Creation Of An User Account"
admin,"index=* (sourcetype=*mcafee* OR sourcetype=*eset*) (severity=Critical OR severity=Fatal) file_name=* file_hash=*
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""Critical"" 
| stats values(date) as ""Infected Time"" values(ipv4) as Host_ip values(file_name) as File_name values(file_hash) as File_hash values(sourcetype) as ""Source Type"" values(action_error) as Action_error values(signature) as Signature count by Alert_Severity Time hostname
| rename Time as ""Detected Time""","FPT - Critical/Fatal Severity Malware Detected by AV"
admin,"index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (""=<script>"" OR ""=%3Cscript%3E"" OR ""=%253Cscript%253E"" OR ""<iframe "" OR ""%3Ciframe "" OR ""<svg "" OR ""%3Csvg "" OR ""document.cookie"" OR ""document.domain"" OR "" onerror="" OR "" onresize="" OR "" onload=\"""" OR ""onmouseover="" OR ""${alert"" OR ""javascript:alert"" OR ""javascript%3Aalert"") NOT (Status_Code=""404"") NOT (src_ip=""10.14.131.3"")
| bucket _time span=1h
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High"" 
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip_Limit_5_Lines , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent_Limit_5_Lines , values(vendor_product) as vendor_product , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path_(Limit_10_Lines) , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time http_x_forwarded_for
|  eval http_user_agent_Limit_5_Lines=mvindex(http_user_agent_Limit_5_Lines,0,4)
|  eval src_ip_Limit_5_Lines=mvindex(src_ip_Limit_5_Lines,0,4)
|  eval uri_path_Limit_10_Lines=mvindex(uri_path_Limit_10_Lines,0,9)
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - Cross Site Scripting (XSS) Detected"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" ((uri_path=""*/servicedesk/customer/../../secure/*"" OR URL=""*/servicedesk/customer/../../secure/*"") (uri_path=""*/servicedesk/customer/..;/..;/secure/*"" OR URL=""*/servicedesk/customer/..;/..;/secure/*"") OR (uri_path=""*/servicedesk/customer/../../sr/jira.issueviews:searchrequest-html-all-fields/temp/SearchRequest.html?jqlQuery=text+%7E+%22%22*"" OR URL=""*/servicedesk/customer/../../sr/jira.issueviews:searchrequest-html-all-fields/temp/SearchRequest.html?jqlQuery=text+%7E+%22%22*"") OR (uri_path=""*/servicedesk/customer/../../sr/jira.issueviews:searchrequest-xml/temp/SearchRequest.xml?jqlQuery=text+%7E+%22%22*"" OR URL=""*/servicedesk/customer/../../sr/jira.issueviews:searchrequest-xml/temp/SearchRequest.xml?jqlQuery=text+%7E+%22%22*""))
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2019-14994 Jira Service Desk Path Traversal"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/packages/../web.xml*"" OR URL=""*/packages/../web.xml*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2019-3394 Confluence Local File Disclosure Vulnerability"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" ((uri_path=""*/rest/tinymce/1/macro/preview*"" OR URL=""*/rest/tinymce/1/macro/preview*"") OR (uri_path=""*/pages/resumedraft.action?draftId=12345&draftShareId=056b55bc-fc4a-487b-b1e1-8f673f280c23&*"" OR URL=""*/pages/resumedraft.action?draftId=12345&draftShareId=056b55bc-fc4a-487b-b1e1-8f673f280c23&*""))
NOT ((client_ip=""10.0.0.0/8"" OR client_ip=""172.16.0.0/12"" OR client_ip=""192.168.0.0/16"") OR (src_ip=""10.0.0.0/8"" OR src_ip=""172.16.0.0/12"" OR src_ip=""192.168.0.0/16""))
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2019-3396 Exploitation Attemps"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (((uri_path=""*/../../*"" OR URL=""*/../../*"") (uri_path=""*/opt/atlassian/confluence/*"" OR URL=""*/opt/atlassian/confluence/*"")) OR (uri_path=""*pages/downloadallattachments.action?*"" OR URL=""*pages/downloadallattachments.action?*""))
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2019-3398 Atlassian Confluence Exploitation"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/browse.*"" OR URL=""*/browse.*"") server=*jira* NOT (src_ip=""10.14.131.3"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2020-14178 Enumerate project keys via an Information Disclosure vulnerability"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/pages/createpage-entervariables.action?*"" OR URL=""*/pages/createpage-entervariables.action?*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2021-26084 RCE Confluence Server"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/secure/WBSGanttManageScheduleJobAction.jspa*"" OR URL=""*/secure/WBSGanttManageScheduleJobAction.jspa*"") Method=GET
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2022-0540 Atlassian Jira Seraph Authentication Bypass Verify Exploitable"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/%24%7B%28%23a%3D%40org.apache.commons.io.IOUtils%40toString%28%40java.lang.Runtime%40getRuntime%28%29.exec%28%22id%22%29.getInputStream%28%29%2C%22utf-8%22%29%29.%28%40com.opensymphony.webwork.ServletActionContext%40getResponse%28%29.setHeader%28%22X-Qualys-Response%22%2C%23a%29%29%7D/*"" OR URL=""*/%24%7B%28%23a%3D%40org.apache.commons.io.IOUtils%40toString%28%40java.lang.Runtime%40getRuntime%28%29.exec%28%22id%22%29.getInputStream%28%29%2C%22utf-8%22%29%29.%28%40com.opensymphony.webwork.ServletActionContext%40getResponse%28%29.setHeader%28%22X-Qualys-Response%22%2C%23a%29%29%7D/*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2022-26134 Atlassian Confluence OGNL Injection RCE Vulnerability"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/dologin.action*"" OR URL=""*/dologin.action*"") http_referrer=""*os_username=disabledsystemuser&os_password=disabled1system1user6708&login=Log+in&os_destination=%2Fvulnerable.action*""
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2022-26138 Exploitation"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" ((uri_path=""*/rest/api/latest/projects/*"" OR URL=""*/rest/api/latest/projects/*"") (uri_path=""*/repos/*"" OR URL=""*/repos/*"") (uri_path=""*/archive?*"" OR URL=""*/archive?*""))
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2022-36804 Bitbucket Command Injection Vulnerability"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/server-info.action?bootstrapStatusProvider.applicationConfig.setupComplete=false*"" OR URL=""*/server-info.action?bootstrapStatusProvider.applicationConfig.setupComplete=false*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2023-22515 Atlassian Confluence Broken Access Control Vulnerability"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*/json/setup-restore.action?synchronous=true*"" OR URL=""*/json/setup-restore.action?synchronous=true*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CVE-2023-22518 Atlassian Confluence Server"
